id,title,content
16,《晓松奇谈》停播引发中国网友缅怀,《晓松奇谈》主持人高晓松并未提及停播原因。此前，这档节目曾多次遭遇审查压力，令高晓松日益不满。
17,新法生效将致在华境外NGO缩减活动,中国一部管理境外非政府组织的新法将于元旦生效，但目前几乎没有哪家在华的境外非政府组织符合该法的要求。
18,中国海外并购在监管上碰壁,今年中国对外并购金额是去年的两倍多一点，创下了纪录，但也引起国内外监管机构的激烈反弹，多笔高额交易夭折。
19,北京竭力控制雷洋案引发的公愤,北京检方决定不起诉雷洋案所涉的几名警察，这一决定令全中国的城市中产阶级专业人士感到震惊和愤慨。
20,北京市长承诺2017年房价不涨,经过两年的楼价飙涨，中国正在踩下刹车。中央经济工作会议本月宣告，“房子是用来住的，不是用来炒的”。
21,2016年中国文化纪事,"王晓渔：本文梳理发生在中国大陆的文化事件，也列入了具有文化意味的其他事件。诸多事件仿佛卡夫卡小说。
"
22,FT社评：到了亚洲和平与稳定的危险时刻,一场危险的军备竞赛正在亚洲进行。下一任美国总统如何与美国在该地区的盟友打交道，将决定这场竞赛的结果。
23,给中国的忠告：重视特朗普的个性特点,寿慧生：将特朗普视为言语不靠谱但行动务实的商人，这低估其价值观对外交政策的影响，及维护其价值观的决心。
24,西方这座自由主义灯塔在黯淡？,南京大学国际关系研究院院长朱锋认为，喧嚣的2016年，或是后冷战时代的终结点。中国面临机遇期，但更需保持战略定力。
25,革命创伤：亚妮父辈的苦难史,老愚：亚妮父母因革命浪潮相识相爱，但文化大革命让他们备受折磨，最终沦为革命的敌人，过着政治贱民的日子。
26,专家警告：中国工业利润增长仍严重依赖刺激政策,中国国家统计局表示，11月中国工业企业利润同比增长14.5%，这是自2014年6月以来第二高的增速。
27,Lex专栏：中国的债务魔咒,2016年中国衰退论再一次落空，但看空中国者长期一直担心的中国日益庞大的债务问题，正显现出真正的紧张迹象。
28,台湾担心成为美中“夹心饼”,在特朗普威胁对华采取更强硬立场、中国加大地区武力恫吓的背景下，台湾担心自己被夹在美中之间左右为难。
29,2017年中国债市形势展望,蔡浩：展望2017年，中国债市面临的影响因素大体可分为三类，不利的、有利的和不确定的，其中不利因素居多。
30,大陆外交战使台湾邦交国岌岌可危,来自台湾形形色色的邦交国的外交官，上周被圣多美和普林西比大使的突然离开震惊。台湾官员担心更多国家改变立场。
31,中国经济调整的两难困境,沃尔夫指出，中国经济结构的不平衡性留下两难困境：高速增长难以为继，也无法实现平稳减速；余永定表示，中国已不再刻意以美国为追赶目标，一心一意专注自身发展，可以避免不必要的焦虑。
32,2016中国外交得与失,王逸舟：今年中国整体形势往上走，但在南海和朝鲜半岛外交上也有“触礁”之处，应对特朗普政府则不能盲动。
33,“两票制”改革为何砍不下药价？,路乾：“两票制”认为药品从药企到医院只有一个环节，加价空间小，药价当然会降。然而，错误思路带来反效果。
34,2017：中国经济的两朵乌云,"徐瑾: 今年是共识瓦解的一年，这为明年带来不确定性；中国经济有两朵乌云：债券市场风险与中美贸易风险。
"
35,另辟蹊径削减中国工业产能过剩,《中外对话》：中国水泥企业结成同业联盟，协调合作共同解决产能过剩的路径值得推广到其他重工业。
36,FT中文网年度好文推荐：投资与财富管理,2016年是全球金融市场“黑天鹅”事件频发的一年，对中国中产富裕阶层而言，这一年充满了变化与挑战。
37,FT中文网年度好文推荐：中国与世界,年终岁末，中美关系疑云顿起，东亚可能重新洗牌。更“自信”的中国与更动荡的世界之间将如何互动，令人遐想。
38,中国企业全球化发展形成新格局,《中国企业全球化报告（2016）》发现，中国企业迎来了对外投资的“黄金期”，并呈现出诸多新的特点。
39,国土部表态缓解“土地使用权到期”疑虑,中国国土资源部表示，针对温州的20年住房土地使用权到期问题，不需要提出续期申请，不收取费用，结束了外界猜测。
40,FT中文网年度好文推荐：公共政策,2016年中国公共空间缩窄，权力傲慢、法治不彰、社会不公、秩序失范、民生艰难、环境恶化等情况导致焦虑情绪积累。
41,FT中文网年度好文推荐：两岸三地,"蔡英文当选、香港立法会风波、到美国当选总统特朗普与蔡英文通电话，是2016年两岸三地的年度焦点。
"
42,FT中文网年度视频推荐：记忆里的影像,2016年在匆匆忙忙中过去，盘点2016年FT中文网读者最喜爱的视频内容，我们有如下几点发现，愿与读者分享。
43,中国—巴基斯坦经济走廊：利益与风险,史志钦、陆洋：中国认识到，不能忽视“中巴经济走廊”所面临的安全、政治及文化方面的风险与不确定性。
44,民粹风潮给中国的警示：停止偏袒利益集团,盛洪：中国尤其需要警惕民粹主义，因为中国老百姓不能通过投票来影响政治选择，民怨一旦爆发可能更加暴烈。
45,京沪网约车新规考验外地户籍司机,外地户籍网约车司机面临被处罚的风险。分析人士认为，规则不大可能更改，控制外来人口是更重要的政治考量。
46,美国农场主关注特朗普对华贸易政策,特朗普的贸易政策将是影响明年农业大宗商品市场的关键因素，Informa担心美国与农产品大买家中国之间的贸易。
47,中国警告特朗普：合作是双方唯一正确选择,特朗普任命对华鹰派人物、《致命中国》作者彼得•纳瓦罗执掌新的白宫贸易政策办公室，这令中方感到震惊。
48,澳大利亚将批准中澳引渡条约,鉴于中国追缉逃亡海外的腐败官员，此举将提振北京推动国际司法合作的努力，也有利于澳方打击洗钱和毒品犯罪。
49,中国或已失去降准最佳“窗口”,胡月晓：当前流动性平稳局面，得益于银行信贷增长的平稳。当未来信贷增长下降时，降准的压力将进一步增大。
50,英美失序，中国也不能幸灾乐祸,杨大力：中国有机会在全球化进程中发挥更大作用，但要取得与美国相同的影响力，还需要漫长的过程。
51,圣诞节前后人民币汇率破“7”？,中国经济政策制定圈子恐怕正在争论到底是汇率保“7”还是外汇储备保“3”。圣诞节前后这场鱼与熊掌之争也许会出结果。
52,中国律师起诉地方政府治霾不力,五名律师起诉北京市、天津市和河北省政府，称其未能实施环保法律，近几年的雾霾治理是“雷声大雨点小”。
53,中国金融监管的正确姿势,刘胜军：与混业化、互联网化、加速创新的金融现实相比，金融监管体系显得左支右挡，狼狈不堪，亟需重大改革。
54,数据：北京雾霾“超标”持续时间增加,"12月16日晚间八点，北京市启动今年首次极端雾霾的""红色预警”。与去年两次红色预警相比，今年有什么不同？"
55,产权保护缺失，农地改革面临“空转”风险,常红晓：实践证明在土地改革领域，中国决策者亟需的并非规模经营，更应把政策重点放在产权保护和征地制度改革上。
56,圣多美和普林西比与台湾断交,虽然圣多美和普林西比难称重量级角色，但其决定与台湾断交给后者造成了具有象征意义的打击。台湾邦交国目前只剩21个。
57,中国在南海的战略决心需要法理支撑,张锋：中方“捕获”行动的瑕疵主要在于，没有完全把竞争规则和国际法规范通过一套有效的战略话语进行阐释和传达。
58,2017年中国经济工作驶向何方？,沈建光：明年，中国经济主要看点是实体经济、防止加杠杆与虚拟经济的过度繁荣，是对今年宽松政策反思。
59,洛杉矶是怎么奇迹告别雾霾的？,华北重霾，让人联想到曾经的霾都洛杉矶。在洛杉矶的治霾史中，好莱坞明星、家庭妇女、良心科学家、铁腕政府官员都做出各自的努力，无人置身事外。
60,2017年中国经济十大预测,刘海影：我认为，以美国为首的发达国家经济有望迎来经济小阳春。但是，中国经济是否能够加入这一队列？
61,习近平、达沃斯和2017年的世界,斯蒂芬斯：特朗普希望让美国摆脱全球责任，中国则可以将自己塑造成全球治理的守卫者和开放贸易体系的火炬手。
62,温哥华比北京好在哪里？,张千帆：宪政民主得到落实，人民信仰自由得到保障、道德素养不断提高，雾霾才会消退，北京才会像温哥华一样美。
63,特朗普将如何改变国际贸易？,欧阳俊：特朗普不可能兑现其所有承诺。至于与国际贸易相关的承诺，我们认为，他就任总统后可能会区别对待。
64,中国向美国归还无人潜航器,中国国防部发布声明称，中美双方经友好协商，于南海有关海域顺利完成无人潜航器的移交工作。然而仍未明确是谁授权扣住该潜航器。
65,中国严重雾霾波及近5亿人,周二，华北24个城市发布了极端雾霾“红色警报”。绿色和平计算，中国今年最严重的大气污染已影响了4.6亿人，污染程度是WHO日常指标的六倍。
66,中国的“名校”为什么“牛”？,周健：“校园霸凌”不可怕，可怕的是“名校”出现“霸凌”后，整个社会除了技术性讨论，根本没有有效解决办法。
67,中国与挪威实现关系正常化,中挪将重启双边自由贸易协定的工作。2010年，挪威把诺贝尔和平奖颁给了在押的中国异议人士刘晓波，导致中国暂停了两国关系。
68,特朗普与中国对抗会怎么样？,卢斯：特朗普以“一中”为筹码，赌中国让步，这恐怕将适得其反。一旦与自信的中国发生争端，很容易爆发冲突。
69,如何打破人民币单边贬值预期？,"刘利刚：盯住一篮子货币的人民币汇率政策面临着严峻挑战；央行可能需要允许人民币在区间内有一定范围内波动。
"
70,“误判”特朗普，中国如何理性反思？,刘波：对于大量中国人支持特朗普，国际舆论一直感到大惑不解。其实，到现在才意识到“误判”，这才令人吃惊。
71,潜航器风波打破中美海军关系改善势头,扣押潜航器事件表明，中国有意更强硬地回击美国在南中国海的监测活动，此事与两国海军关系不断改善的势头背道而驰。
72,分析：偿债是中国资本外流最大因素,银行贷款偿还和证券投资解除在今年前九个月中国的净资金流出中占3010亿美元，而对外直接投资仅占780亿美元。
73,美国称：中国将交还美国无人潜航器,美方此前就中国海军扣押美国无人潜航器提出正式抗议。军事专家称，此举是中国反击特朗普对台政策的第一步。
74,《萨利机长》背后：航空安全不只靠英雄,李昊：英雄可以在关键时刻救众生于水火，但严谨的制度与理性的社会才是安全的根本保障，是安全感的真正来源。
75,霾是“自然灾害”？——推卸政府责任的法案,龚刃韧：北京等地法规将霾列为气象灾害，这可能导致作为监管者的政府以不可抗力为免责事由，减免或推卸责任。
76,中国顶层战略将做强中资制造商,金奇：墨卡托中国研究中心指出，中国工业战略的一个明确目标是培育国内冠军企业，来取代在华外企的销售。
77,美因杜特尔特言论推迟对菲扶贫援助,杜特尔特表示曾在禁毒战中亲自追杀嫌疑分子，美方对此深感不安，表示要对法治与公民自由相关事项做进一步审查。
78,中国对美国出口下降4.7%,主要原因是电子商品发货量下降；同时低工资亚洲经济体的激烈竞争意味着，中国商品正日益“被挤出去”。
79,强势美元：特朗普和耶伦的相同难题,奥瑟兹：强势美元对特朗普和耶伦的目标都不利，尤其是对特朗普来说，其效果就像美国出口面临高额关税。
80,美国再次将中国告上WTO,最新申诉针对中国实行的玉米、大米和小麦进口配额制度，这是奥巴马政府在世贸组织对中国发起的第15起行动。
81,“一带一路”与中国在南海的战略平衡,张锋：中国应抓住目前南海局势缓和的有利时机，争取在特朗普新政府政策出台前能有所作为，占据一些战略主动。
82,美智库指责中国“军事化”南中国海,美国战略与国际问题研究中心称，卫星图片似乎显示，南中国海的人造岛屿上出现了大型高射炮、反导系统和雷达设施。
83,金钟道集团涉嫌贿赂几内亚前矿业部长,从所披露资料分析，徐京华的金钟道集团向蒂亚姆行贿850万美元，换取在几内亚开采黄金、钻石、铝土矿和铁矿的全面许可。
84,中国将深刻影响全球化未来,何亚非：鉴于美国可能延续的战略紧缩和部分撤出全球参与，中国在全球化中的角色将越来越突出和具有决定性。
85,FT大视野：人民币停下国际化脚步？,人民币从升值转为贬值，国际化也出现放缓。面对资金外流，中国收紧资本管制，令外界担忧其人民币国际化承诺。
86,楼市新一轮调控释放什么信号？,陈杰：这轮调控坚持四五个月，热点城市房价就可能出现大面积松动；只要基本面没有根本性恶化，楼市大崩盘可能性不大。
87,华尔街对特朗普由恨转爱用了多久？,夏春：当前美国股市对特朗普胜选反应乐观，尽管许多人没有把票投给他，但金钱已经跟从了他的政策主张。
88,理解特朗普胜选，寻觅投资机会,夏春：特朗普胜选后，政策不确定性会传到资本市场，包括投资者信心不足，风险偏好降低和企业投资意愿减少。
89,泡沫：致命的一致,朱宁：从历史上看，泡沫的顶点总是在全市场达成了“这不是一场泡沫”的共识的时候，才不期而遇地降临。
90,房地产国家牛市的八大风险,"沈建光：从长远来看，改革没有捷径可走，通过居民加杠杆帮助企业降杠杆的尝试是有风险的，切实推动结构性改革，比如国企改革，才是解决问题的根本途径。
"
91,“货币战”真的休战了？,竞争性贬值长期以来一直是外汇市场的主要话题。近期美联储等世界主要央行一系列令人意外的决定，被一些人解读为“货币战”的休战声明。然而，在“人人为己”的外汇世界，即使真存在一份休战协议，也应担忧它多快会崩溃。
92,,very-secret
